Seed,16,25,36,49,64
0,-11.1953125,-18.6640625,-25.734375,-36.46875,-48.5234375
1,-10.9453125,-18.8828125,-28.4453125,-38.953125,-50.7265625
2,-11.8828125,-18.9921875,-25.9921875,-38.6171875,-49.1796875
3,-11.2421875,-17.515625,-27.328125,-40.046875,-51.8125
4,-11.9765625,-19.5,-27.1328125,-35.5234375,-45.859375
5,-11.609375,-18.375,-26.8984375,-35.1015625,-45.6796875
6,-11.859375,-17.140625,-25.625,-34.8125,-46.546875
7,-10.3515625,-17.984375,-25.6640625,-36.8515625,-48.96875
8,-12.6640625,-23.296875,-30.9140625,-38.4296875,-50.34375
9,-13.4921875,-20.375,-29.03125,-35.5703125,-49.390625
10,-10.84375,-20.015625,-27.25,-37.078125,-50
11,-9.3984375,-16.8828125,-27.453125,-36.0703125,-50.4296875
12,-11.1640625,-18.4921875,-30.078125,-39.390625,-49.9765625
13,-10.46875,-20.3046875,-27.3984375,-37.3671875,-51.4296875
14,-11.453125,-15.421875,-23.4375,-37.0078125,-47.765625
15,-12.640625,-20.71875,-29.640625,-37.2890625,-50.21875
16,-9.6640625,-16.2109375,-23.8515625,-31.8671875,-42.28125
17,-12.0859375,-16.953125,-26.09375,-35.0390625,-46.6640625
18,-10.453125,-18.578125,-26.65625,-38.1484375,-53.125
19,-11.828125,-18.9609375,-25.3203125,-34.3359375,-46.6640625
