Seed,3,4,5,6,7,8,9,10
0,-1.719963064,-1.532867715,-2.715005272,-5.491138368,-4.103834537,-3.882506759,-5.914179677,-6.217264451
1,-1.388521403,-0.6171931732,-1.749202161,-2.825085669,-4.35310099,-5.786337017,-3.854286077,-9.173865309
2,-0.7103959464,-1.855226698,-2.304578666,-5.741211337,-7.746158233,-6.377753075,-6.037075371,-5.03517256
3,-1.404881552,-3.060085114,-4.215156558,-3.758773587,-5.75550739,-6.515170022,-4.699253856,-5.072955187
4,-0.9963087234,-1.679021115,-3.027627011,-2.646838599,-3.217644173,-5.597313577,-6.318871549,-5.492679201
5,-2.558697174,-2.577411717,-1.173164271,-3.433510131,-6.073126133,-7.216004778,-5.733136237,-5.627912402
6,-1.017047092,-1.913968247,-3.401929273,-3.267935538,-8.594870561,-4.351096177,-7.814655281,-5.863719579
7,-1.195182228,-1.552357636,-4.902303706,-1.77867362,-4.852473884,-4.87226066,-6.457696202,-6.362709012
8,-2.915060667,-1.393184249,-5.401569908,-4.676810116,-4.392811433,-6.433200677,-8.511739311,-7.033441602
9,-2.405549846,-2.162535054,-3.758785316,-3.491570889,-6.221820641,-4.025746907,-7.678966041,-9.534096437
10,-0.8601566564,-1.47919944,-4.126005835,-1.995201916,-3.268366394,-7.209918385,-4.695623387,-7.983504582
11,-1.15318072,-0.8906272912,-3.043456398,-4.16682356,-4.200221448,-6.272956401,-5.02478048,-5.630018537
12,-1.067974833,-2.713594368,-1.441201737,-2.386202772,-5.114856068,-5.051850916,-3.372374786,-6.913342393
13,-1.737047616,-2.018072568,-2.816933205,-4.350242157,-3.90068612,-6.043189975,-3.671633926,-7.792148549
14,-1.697169336,-3.456106984,-3.784804628,-5.211641703,-4.399847587,-6.08611087,-8.934388064,-7.048710572
15,-2.969800589,-1.589559408,-4.982502768,-4.349822276,-3.318815189,-3.882555923,-7.337013003,-5.247870323
16,-0.8948031738,-3.22533865,-3.225172823,-3.078222112,-5.470447621,-4.421736117,-4.533511457,-4.909089563
17,-0.9917629291,-4.287932886,-3.55516097,-3.09055966,-4.973185223,-5.515160891,-5.175593468,-6.149849842
18,-1.642030881,-1.186891609,-3.739822232,-6.131026185,-4.523696358,-5.847329501,-4.003579919,-6.512554227
19,-0.2948804947,-3.009143456,-3.538360297,-2.881228796,-4.208841507,-6.240007781,-7.271075136,-4.669022132
20,-2.367063108,-1.261207395,-6.787909244,-4.266673662,-3.914299094,-6.020762648,-6.346905399,-8.835068212
21,-2.284585209,-1.97818058,-2.507771629,-5.561945379,-5.164914479,-6.348926809,-6.893015714,-6.965611545
22,-1.590903097,-1.354998341,-1.748200797,-3.42951418,-6.393983669,-4.735624265,-5.803982267,-8.040035827
23,-1.685547551,-3.804744957,-2.589428754,-4.201759861,-6.934696395,-4.797152924,-8.963709034,-7.879749328
24,-2.93486958,-2.646686838,-2.090763467,-5.469211987,-3.350280454,-7.573971587,-5.226786168,-4.833134125
25,-1.286594955,-1.780945886,-1.819497421,-4.64131796,-2.972845091,-6.555276578,-6.564217036,-4.939452102
26,-1.670524962,-3.404265231,-1.527156365,-4.637953208,-4.604675464,-4.025123131,-7.359984417,-6.214639494
27,-1.254265956,-4.494913352,-2.343587387,-2.76451437,-5.888504318,-3.474799658,-7.455097857,-5.22946418
28,-2.036049581,-4.440368714,-1.463764028,-4.750599862,-7.051253349,-7.014943734,-11.98233215,-8.636260978
29,-2.295273646,-3.820402752,-6.741904063,-4.366860313,-5.169161697,-5.203293536,-6.513883212,-4.876080498
30,-0.8267550377,-1.937134825,-2.58425169,-4.748329739,-4.153199785,-5.364915931,-5.32235028,-5.082266713
31,-2.539561339,-1.437260199,-2.035522551,-3.769167874,-5.12581238,-6.762105442,-4.031534983,-11.17301398
32,-1.262816139,-2.033540638,-4.140651047,-3.790546314,-3.931403937,-3.980057699,-7.649361337,-8.145894591
33,-3.470558962,-2.319623811,-2.769987907,-4.021244576,-2.97907496,-7.107757918,-9.026414669,-7.481339244
34,-1.622143783,-2.362734803,-3.680340959,-5.910689996,-3.748390133,-5.179592721,-7.8959024,-8.759519194
35,-0.867096913,-3.284853327,-5.132175382,-1.565677978,-8.607551073,-5.878166483,-7.179752719,-6.177721528
36,-0.7931512659,-1.705249683,-1.036790002,-3.548821127,-7.57998781,-6.161501655,-5.288682205,-10.70725773
37,-1.249591418,-1.108198264,-3.843050358,-2.512400128,-3.889496438,-11.66356602,-7.866706339,-4.757655279
38,-0.5869947685,-1.940954525,-2.924122556,-4.31085139,-4.478774633,-1.634192668,-6.307680673,-5.946749445
39,-0.2771811786,-1.89390357,-1.539146218,-4.910399423,-4.011125647,-3.294167291,-4.222788195,-5.336404306
40,-1.350015076,-2.102902454,-2.269171253,-5.858323179,-5.271636218,-6.434282306,-7.775300246,-6.200098305
41,-2.55753788,-5.181627627,-2.308535786,-4.866710976,-6.709705947,-3.168928605,-12.11806744,-8.981719
42,-1.020653987,-3.752375044,-2.719917668,-6.259363772,-3.436310464,-7.342170423,-8.66919538,-8.165496023
43,-1.709048672,-4.787328953,-1.885543404,-2.866352651,-6.437060346,-8.681542672,-7.467803821,-6.834891951
44,-0.9137688413,-1.812766139,-2.322357364,-4.930774774,-5.468587393,-3.954634477,-8.310897775,-9.326453191
45,-0.9844871514,-2.253134031,-3.556187101,-4.182703284,-4.182080771,-7.254065685,-3.758452668,-8.199671685
46,-1.039766906,-1.775984769,-3.439430237,-3.269281169,-5.766747697,-4.328127545,-7.540048846,-6.025874722
47,-0.2732181182,-0.8186910037,-4.984093761,-3.900940265,-5.361765006,-5.604545128,-4.583144219,-12.37902797
48,-2.170251405,-0.9605105827,-2.476535326,-5.835375577,-2.813847927,-4.134554917,-5.75595494,-8.053135015
